Day,Month,Year,Zero,Channel,Position,Depth
7,7,2018,24.8,10,21.9,-2.9
7,5,2018,24.8,10,22.1,-2.7
13,4,2018,24.8,10,22.3,-2.5
13,4,2018,24.8,10,22.6,-2.2
10,9,2020,25,11,21.8,-3.2
26,7,2020,25,11,21.9,-3.1
1,2,2020,25,11,22,-3
30,3,2019,24.4,11,21.5,-2.9
5,1,2019,24.4,11,21.9,-2.5
2,12,2018,24.4,11,22.2,-2.2
27,11,2018,24.4,11,22.4,-2
4,11,2018,24.4,11,22.7,-1.7
7,7,2018,24.8,11,23.2,-1.6
7,5,2018,24.8,11,23.4,-1.4
13,4,2018,24.8,11,23.6,-1.2
13,4,2018,24.8,11,23.85,-0.95
10,9,2020,25,12,21.8,-3.2
26,7,2020,25,12,21.9,-3.1
1,2,2020,25,12,22,-3
30,3,2019,24.4,12,21.5,-2.9
5,1,2019,24.4,12,21.7,-2.7
2,12,2018,24.4,12,22.1,-2.3
27,11,2018,24.4,12,22.3,-2.1
4,11,2018,24.4,12,22.7,-1.7
7,7,2018,24.8,12,23.2,-1.6
7,5,2018,24.8,12,23.4,-1.4
13,4,2018,24.8,12,23.6,-1.2
13,4,2018,24.8,12,23.9,-0.9
10,9,2020,25,13,21.5,-3.5
26,7,2020,25,13,21.6,-3.4
1,2,2020,25,13,21.7,-3.3
30,3,2019,24.4,13,21.25,-3.15
5,1,2019,24.4,13,21.5,-2.9
2,12,2018,24.4,13,22,-2.4
27,11,2018,24.4,13,22.3,-2.1
4,11,2018,24.4,13,22.7,-1.7
7,7,2018,24.8,13,23.2,-1.6
7,5,2018,24.8,13,23.4,-1.4
13,4,2018,24.8,13,23.6,-1.2
13,4,2018,24.8,13,23.9,-0.9
10,9,2020,25,14,21.6,-3.4
26,7,2020,25,14,21.7,-3.3
1,2,2020,25,14,21.8,-3.2
30,3,2019,24.4,14,21.4,-3
5,1,2019,24.4,14,21.7,-2.7
2,12,2018,24.4,14,22.2,-2.2
27,11,2018,24.4,14,22.7,-1.7
4,11,2018,24.4,14,23.1,-1.3
7,7,2018,24.8,14,23.6,-1.2
7,5,2018,24.8,14,23.8,-1
13,4,2018,24.8,14,24,-0.8
13,4,2018,24.8,14,24.25,-0.55
10,9,2020,25,15,21.8,-3.2
26,7,2020,25,15,21.9,-3.1
1,2,2020,25,15,22,-3
5,1,2019,24.4,15,21.5,-2.9
2,12,2018,24.4,15,22,-2.4
27,11,2018,24.4,15,22.5,-1.9
4,11,2018,24.4,15,22.9,-1.5
7,7,2018,24.8,15,23.4,-1.4
7,5,2018,24.8,15,23.6,-1.2
13,4,2018,24.8,15,23.8,-1
13,4,2018,24.8,15,24.1,-0.7
10,9,2020,25,18,21.8,-3.2
26,7,2020,25,18,21.9,-3.1
1,2,2020,25,18,22,-3
30,3,2019,24.4,18,21.5,-2.9
5,1,2019,24.4,18,22.2,-2.2
2,12,2018,24.4,18,22.5,-1.9
27,11,2018,24.4,18,22.7,-1.7
4,11,2018,24.4,18,23.1,-1.3
7,7,2018,24.8,18,23.6,-1.2
7,5,2018,24.8,18,23.8,-1
13,4,2018,24.8,18,24,-0.8
10,9,2020,25,19,23.1,-1.9
26,7,2020,25,19,23.2,-1.8
1,2,2020,25,19,23.3,-1.7
30,3,2019,24.4,19,22.85,-1.55
2,12,2018,24.4,19,22.9,-1.5
27,11,2018,24.4,19,23,-1.4
4,11,2018,24.4,19,23.5,-0.9
7,7,2018,24.8,19,24,-0.8
7,5,2018,24.8,19,24.2,-0.6
13,4,2018,24.8,19,24.35,-0.45
13,4,2018,24.8,19,24.65,-0.15
10,9,2020,25,20,23.7,-1.3
26,7,2020,25,20,23.8,-1.2
13,4,2018,24.8,20,23.7,-1.1
13,4,2018,24.8,20,24,-0.8
10,9,2020,25,22,20.9,-4.1
26,7,2020,25,22,21,-4
1,2,2020,25,22,21.1,-3.9
30,3,2019,24.4,22,20.65,-3.75
5,1,2019,24.4,22,20.7,-3.7
2,12,2018,24.4,22,21.1,-3.3
27,11,2018,24.4,22,21.5,-2.9
4,11,2018,24.4,22,21.8,-2.6
7,7,2018,24.8,22,22.3,-2.5
7,5,2018,24.8,22,22.5,-2.3
13,4,2018,24.8,22,22.65,-2.15
13,4,2018,24.8,22,22.95,-1.85
10,9,2020,25,23,21.2,-3.8
26,7,2020,25,23,21.3,-3.7
1,2,2020,25,23,21.4,-3.6
30,3,2019,24.4,23,20.9,-3.5
5,1,2019,24.4,23,21.4,-3
2,12,2018,24.4,23,21.5,-2.9
27,11,2018,24.4,23,22,-2.4
4,11,2018,24.4,23,22.5,-1.9
7,7,2018,24.8,23,23,-1.8
7,5,2018,24.8,23,23.2,-1.6
13,4,2018,24.8,23,23.4,-1.4
13,4,2018,24.8,23,23.65,-1.15
10,9,2020,25,24,21.2,-3.8
26,7,2020,25,24,21.3,-3.7
1,2,2020,25,24,21.4,-3.6
30,3,2019,24.4,24,21,-3.4
5,1,2019,24.4,24,21.2,-3.2
2,12,2018,24.4,24,21.5,-2.9
27,11,2018,24.4,24,22,-2.4
4,11,2018,24.4,24,22.4,-2
7,7,2018,24.8,24,22.9,-1.9
7,5,2018,24.8,24,23.1,-1.7
13,4,2018,24.8,24,23.3,-1.5
13,4,2018,24.8,24,23.6,-1.2
10,9,2020,25,26,20.8,-4.2
26,7,2020,25,26,20.9,-4.1
1,2,2020,25,26,21,-4
5,1,2019,24.4,26,20.6,-3.8
2,12,2018,24.4,26,21,-3.4
27,11,2018,24.4,26,21.5,-2.9
4,11,2018,24.4,26,21.9,-2.5
7,7,2018,24.8,26,22.4,-2.4
7,5,2018,24.8,26,22.6,-2.2
13,4,2018,24.8,26,22.75,-2.05
13,4,2018,24.8,26,23,-1.8
10,9,2020,25,27,21.3,-3.7
26,7,2020,25,27,21.4,-3.6
1,2,2020,25,27,21.5,-3.5
5,1,2019,24.4,27,21,-3.4
2,12,2018,24.4,27,21.4,-3
27,11,2018,24.4,27,21.8,-2.6
4,11,2018,24.4,27,22.25,-2.15
7,7,2018,24.8,27,22.8,-2
7,5,2018,24.8,27,23,-1.8
13,4,2018,24.8,27,23.2,-1.6
13,4,2018,24.8,27,23.4,-1.4
10,9,2020,25,28,21.05,-3.95
26,7,2020,25,28,21.15,-3.85
1,2,2020,25,28,21.25,-3.75
30,3,2019,24.4,28,20.8,-3.6
5,1,2019,24.4,28,20.9,-3.5
2,12,2018,24.4,28,21.2,-3.2
27,11,2018,24.4,28,21.6,-2.8
4,11,2018,24.4,28,21.9,-2.5
7,7,2018,24.8,28,22.4,-2.4
7,5,2018,24.8,28,22.6,-2.2
13,4,2018,24.8,28,22.8,-2
13,4,2018,24.8,28,23.05,-1.75
2,12,2018,24.4,29,21,-3.4
27,11,2018,24.4,29,21.5,-2.9
4,11,2018,24.4,29,21.8,-2.6
7,7,2018,24.8,29,22.3,-2.5
7,5,2018,24.8,29,22.5,-2.3
13,4,2018,24.8,29,22.7,-2.1
13,4,2018,24.8,29,22.95,-1.85
10,9,2020,25,30,21.25,-3.75
26,7,2020,25,30,21.35,-3.65
1,2,2020,25,30,21.45,-3.55
2,12,2018,24.4,30,21,-3.4
27,11,2018,24.4,30,21.5,-2.9
4,11,2018,24.4,30,21.8,-2.6
7,7,2018,24.8,30,22.3,-2.5
7,5,2018,24.8,30,22.5,-2.3
13,4,2018,24.8,30,22.65,-2.15
13,4,2018,24.8,30,22.85,-1.95
10,9,2020,25,31,20.7,-4.3
26,7,2020,25,31,20.8,-4.2
1,2,2020,25,31,20.9,-4.1
2,12,2018,24.4,31,20.5,-3.9
27,11,2018,24.4,31,21,-3.4
4,11,2018,24.4,31,21.4,-3
7,7,2018,24.8,31,21.9,-2.9
7,5,2018,24.8,31,22.1,-2.7
13,4,2018,24.8,31,22.3,-2.5
13,4,2018,24.8,31,22.6,-2.2
